1,0.7
2,0.7
3,1.0
4,1.3
5,1.5
6,1.0
7,1.2
8,2.0
9,1.6
10,1.6
11,2.5
12,2.7
13,1.7
14,1.6
15,1.6
16,2.5
17,2.5
18,2.4
19,3.5
20,2.6
21,3.1
22,3.5
23,2.6
24,2.8
25,3.0
26,3.2
27,4.3
28,4.1
29,4.6
30,3.1
31,3.1
32,4.9
33,4.3
34,4.9
35,6.0
36,4.4
37,4.9
38,4.8
39,5.0
40,4.8
41,5.3
42,6.1
43,6.3
44,5.5
45,6.5
46,5.8
47,6.7
48,6.1
49,6.3
50,5.0
51,5.8
52,7.3
53,7.2
54,7.4
55,6.3
56,7.7
57,8.7
58,8.0
59,7.3
60,7.0
61,6.1
62,8.3
63,6.5
64,9.4
65,7.8
66,8.8
67,7.4
68,7.9
69,7.6
70,7.1
71,9.0
72,8.6
73,8.0
74,10.3
75,8.2
76,8.4
77,8.5
78,8.6
79,8.8
80,8.8
81,9.9
82,9.1
83,10.0
84,9.3
85,9.1
86,8.3
87,8.4
88,8.6
89,9.6
90,9.9
91,9.0
92,9.1
93,8.9
94,8.8
95,10.5
96,9.6
97,11.4
98,9.9
99,10.7
100,9.2
101,10.2
102,10.9
103,10.8
104,11.2
105,10.1
106,10.4
107,10.5
108,10.1
109,10.4
110,10.4
111,9.5
112,10.5
113,10.6
114,11.4
115,10.8
116,10.8
117,11.5
118,10.2
119,11.7
120,11.1
121,11.8
122,11.0
123,10.9
124,11.4
125,12.1
126,12.2
127,11.0
128,12.9
129,10.7
130,10.8
131,10.9
132,10.4
133,12.4
134,11.4
135,12.2
136,11.3
137,12.4
138,12.3
139,11.6
140,11.9
141,12.7
142,11.6
143,11.7
144,10.9
145,12.0
146,13.5
147,12.7
148,12.8
149,13.7
150,12.0
151,12.2
152,13.1
153,12.3
154,12.1
155,12.2
156,11.9
157,13.0
158,11.8
159,13.9
160,13.1
161,12.5
162,12.2
163,12.6
164,11.7
165,12.4
166,11.8
167,12.2
168,11.7
169,13.5
170,12.2
171,12.4
172,13.3
173,12.0
174,13.6
175,12.9
176,13.6
177,13.3
178,14.3
179,12.1
180,13.4
181,14.4
182,13.5
183,13.5
184,13.8
185,11.7
186,12.0
187,12.9
188,14.5
189,13.6
190,13.7
191,12.8
192,12.5
193,12.9
194,13.8
195,13.3
196,14.0
197,13.8
198,14.0
199,13.2
200,13.9
201,13.0
202,13.2
203,13.0
204,13.3
205,13.2
206,13.3
207,13.3
208,13.5
209,14.9
210,13.3
211,13.1
212,13.4
213,14.9
214,13.6
215,13.4
216,13.2
217,14.3
218,14.3
219,14.3
220,12.8
221,12.4
222,13.3
223,14.3
224,13.1
225,15.0
226,14.4
227,14.4
228,13.3
